Month,deviceproviderid,modelid,dev_level,total_trans,success_trans,success_perc,failed_trans,failed_perc,bio_failure,bio_failure_perc
Apr-25,Morpho.SmartChip,CBME3RD,L1,106905580,98844252,92.46,8061328,7.54,7183240,6.72
Apr-25,INTEGRA.IMSPL,IMS.AQT.TCS1S.A,L0,7484516,7045507,94.13,439009,5.87,402144,5.37
Apr-25,EVOLUTE.EVOLUTE,FALCON,L0,5956907,5566501,93.45,390406,6.55,362417,6.08
Apr-25,EVOLUTE.EVOLUTE,IDENTI5,L0,4888209,4503550,92.13,384659,7.87,353077,7.22
Apr-25,LINKWELL.LTPL,VTK.VA21POS.A400.A,L0,4826483,4446853,92.13,379630,7.87,305537,6.33
Apr-25,MATRIX.MCPL,MCP.FAX.500OH.E,L0,4341394,4120440,94.91,220954,5.09,193767,4.46
Apr-25,EVOLUTE.EVOLUTE,LEOPARD,L0,3971740,3668768,92.37,302972,7.63,272277,6.86
Apr-25,INTEGRA.IMSPL,IMS.AQT.TCS1S.W,L0,580768,563336,97,17432,3,16803,2.89
Apr-25,INTEGRA.IMSPL,IMS.ANA.TCS1S.E,L0,166713,158238,94.92,8475,5.08,8243,4.94
Apr-25,SECUGEN.SGI,HU20A,L0,13648,12704,93.08,944,6.92,903,6.62
May-25,INTEGRA.IMSPL,IMS.AQT.TCS1S.W,L0,1435553604,1391877732,96.96,43675872,3.04,40826524,2.84
May-25,INTEGRA.IMSPL,IMS.ANA.TCS1S.E,L0,2706377044,2555108108,94.41,151268936,5.59,145203324,5.37
May-25,INTEGRA.IMSPL,IMS.AQT.TCS1S.A,L0,1.15714E+11,1.09032E+11,94.23,6682069248,5.77,5902746976,5.1
May-25,Morpho.SmartChip,CBME3RD,L1,1.03504E+14,9.73039E+13,94.01,6.20008E+12,5.99,5.20086E+12,5.02
May-25,LINKWELL.LTPL,VTK.VA21POS.A400.A,L0,41440985160,38255405952,92.31,3185579208,7.69,2484117368,5.99
May-25,MANTRA.MSIPL,MFS110,L1,4.65512E+14,4.28845E+14,92.12,3.6667E+13,7.88,3.16895E+13,6.81
May-25,INTEGRA.IMSPL,IMS.ANA.1300E.E,L0,3232732851,2908409648,89.97,324323203,10.03,314125567,9.72
May-25,PRECISION.PB,PB1000,L1,8.54922E+11,7.55427E+11,88.36,99495096960,11.64,86952060240,10.17
May-25,EVOLUTE.EVOLUTE,EVOLUTEFPSA600,L0,281678426,247715051,87.94,33963375,12.06,31177826,11.07
May-25,LINKWELL.LTPL,VTK.L1.V400,L1,1.28993E+12,1.12772E+12,87.43,1.62204E+11,12.57,1.49326E+11,11.58
