Sl. No.,India/State/UT,Total Enrolment,Aadhaar Number Provided
1,India,248045828,197001059
2,Andaman and Nicobar Islands,72119,71401
3,Andhra Pradesh,8741885,8574678
4,Arunachal Pradesh,323717,226301
5,Assam,6922533,4079408
6,Bihar,21348149,8285743
7,Chandigarh,265706,251833
8,Chhattisgarh,5776548,5117361
9,Dadra and Nagar Haveli and Daman and Diu,141282,131556
10,Delhi,4506578,4052231
11,Goa,304735,279296
12,Gujarat,11496709,9684433
13,Haryana,5599742,5322753
14,Himachal Pradesh,1426412,1321813
15,Jammu and Kashmir,2629949,2240346
16,Jharkhand,7143255,5958289
17,Karnataka,11926303,10238523
18,Kerala,6281704,5749074
19,Ladakh,56642,39857
20,Lakshadweep,12591,12460
21,Madhya Pradesh,15361543,12284969
22,Maharashtra,21375970,20892428
23,Manipur,647434,335497
24,Meghalaya,1052884,254583
25,Mizoram,293763,213575
26,Nagaland,412975,219834
27,Odisha,7756910,6916691
28,Puducherry,244828,239101
29,Punjab,5988681,5203203
30,Rajasthan,16786065,10725517
31,Sikkim,121395,70026
32,Tamil Nadu,12993050,11591587
33,Telangana,7293644,6558231
34,Tripura,689408,562615
35,Uttar Pradesh,41662794,32439867
36,Uttarakhand,2372400,2054234
37,West Bengal,18015525,14801745
